Title: Total Hospitals | KFF,
Timeframe: 2012,
Location,Total Hospitals
United States,4999
Alabama,97
Alaska,23
Arizona,72
Arkansas,83
California,349
Colorado,82
Connecticut,34
Delaware,7
District of Columbia,11
Florida,216
Georgia,148
Hawaii,24
Idaho,40
Illinois,188
Indiana,124
Iowa,118
Kansas,131
Kentucky,106
Louisiana,124
Maine,37
Maryland,50
Massachusetts,83
Michigan,151
Minnesota,133
Mississippi,98
Missouri,123
Montana,48
Nebraska,89
Nevada,38
New Hampshire,28
New Jersey,77
New Mexico,37
New York,178
North Carolina,118
North Dakota,44
Ohio,185
Oklahoma,117
Oregon,58
Pennsylvania,192
Rhode Island,11
South Carolina,67
South Dakota,54
Tennessee,132
Texas,425
Utah,47
Vermont,14
Virginia,94
Washington,87
West Virginia,55
Wisconsin,128
Wyoming,24
,
Notes,
"Data are for community hospitals, which represent 85% of all hospitals.",
,
Sources,
"1999 - 2020 AHA Annual Survey, Copyright 2021 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2021. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb).",
,
Definitions,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public.",
